"Adhfe1"
"Tmem70"
"Gsta3"
"Lmbrd1"
"Dst"
"Plekhb2"
"Cox5b"
"Mrpl30"
"Tmem182"
"Hibch"
"Mstn"
"Coq10b"
"Aox1"
"Ndufb3"
"Stradb"
"Bcs1l"
"Cyp27a1"
"Dnajb2"
"Des"
"Rpl19-ps1"
"Sp100"
"Cxcr7"
"Gpc1"
"D2hgdh"
"Fam174a"
"Slc35f5"
"Slc41a1"
"Klhdc8a"
"Plekha6"
"Cacna1s"
"Glul"
"Myoc"
"Brp44"
"Creg1"
"Tmco1"
"Rxrg"
"Rgs5"
"Spna1"
"Efcab2"
"Lamb3"
"Slco5a1"
"Stau2"
"Jph1"
"Ogfrl1"
"1110058L19Rik"
"Gm10925"
"Ankrd23"
"Fhl2"
"Obfc2a"
"Gm8420"
"Mfsd6"
"Trak2"
"Myl1"
"Abca12"
"Mreg"
"Tns1"
"Abcb6"
"Atg9a"
"Tuba4a"
"Ptprn"
"Epha4"
"Col4a4"
"Asb18"
"Hdac4"
"Ndufa10"
"Hdlbp"
"Tmem37"
"Steap3"
"Insig2"
"Pfkfb2"
"Mapkapk2"
"Cdk18"
"Tmcc2"
"Prelp"
"Cfh"
"Gm5532"
"Prdx6"
"Fmo2"
"Prrx1"
"Dcaf6"
"Mgst3"
"Rgs4"
"Uap1"
"Atf6"
"Gm2962"
"Fcgr3"
"Pcp4l1"
"Ndufs2"
"Atp1a2"
"AI607873"
"Ifi204"
"Ifi202b"
"Ifi205"
"Adck3"
"Ephx1"
"G0s2"
"Epm2a"
"Fuca2"
"Txlnb"
"Mtap7"
"Sesn1"
"Pdss2"
"Rtn4ip1"
"Pln"
"Smpdl3a"
"P4ha1"
"Psap"
"Lrrc20"
"Ppa1"
"Rhobtb1"
"Chchd10"
"Itgb2"
"Icosl"
"Cdc34"
"Bsg"
"Hcn2"
"Cfd"
"Gpx4"
"Ndufs7"
"Apba3"
"Aes"
"Tcp11l2"
"Pah"
"Tmcc3"
"Dcn"
"Ptprb"
"Best3"
"Tmbim4"
"Gns"
"Cs"
"Itga7"
"6530403G13Rik,BC013529"
"Gm10828,Grm1"
"Gm8355"
"Enpp1"
"Hint3"
"Amd1"
"Armc2"
"Lace1"
"Man1a"
"Ddit4"
"Srgn"
"Mypn"
"Cisd1"
"Gm6419"
"Ddt,Gm20441,Gstt3"
"Pfkl"
"D10Jhu81e"
"Pdxk"
"Adamtsl5"
"Uqcr11"
"Lingo3"
"Nfic"
"Mterfd3"
"Fabp3-ps1"
"Chpt1"
"Mrpl42"
"Nudt4"
"Lyz2"
"Rassf3"
"Lrp1"
"Coq10a"
"Suox"
"Dusp18"
"Ogdh"
"Adcy1"
"Psme4"
"Hba-a1"
"Hba-a2"
"Trim7"
"Gfpt2"
"Sar1b"
"Irf1"
"P4ha2"
"Gm12250"
"Igtp"
"Irgm2"
"Mrpl55"
"4933439F18Rik"
"Smcr7"
"Map2k3"
"Pmp22"
"1810027O10Rik"
"Eno3"
"Kif1c"
"P2rx5"
"Slc43a2"
"Coro6"
"2610507B11Rik"
"Vtn"
"Adap2"
"Rhbdl3"
"Rasl10b"
"Cuedc1"
"Mrps23"
"Ankrd40"
"Spop"
"Mrpl45"
