"Nck2"
"Col3a1"
"Tmem194b"
"Sgol2"
"Nop58"
"Abi2"
"Zdbf2"
"Igfbp2"
"Acsl3,Utp14b"
"Sh3bp4"
"Lrrfip1"
"Ramp1"
"Sept2"
"En1"
"Kdm5b"
"Csrp1"
"Tnni1"
"Aspm"
"Arpc5"
"Rnasel"
"BC026585"
"Aldh9a1"
"Adamts4"
"Pigm"
"Kif26b"
"Trp53bp2"
"Ints7"
"Mcm3"
"Col5a2"
"Slc40a1"
"Slc39a10"
"Akr1cl"
"Bard1"
"Fn1"
"Ap1s3"
"Hjurp"
"Arl4c"
"Kif1a"
"Dtymk"
"Actr3"
"Mcm6"
"Zc3h11a"
"Ppfia4"
"Nav1"
"Rnf2"
"Rgl1"
"Dhx9"
"Soat1"
"Ralgps2"
"AI848100"
"Prrc2c"
"Mpzl1"
"Pbx1"
"Vangl2"
"Casq1"
"Adss"
"Hnrnpu"
"H3f3a"
"Kctd3"
"Vash2"
"Plagl1"
"Nhsl1"
"Bclaf1"
"Arhgap18"
"Ptprk"
"Hddc2"
"Hdac2"
"Lama4"
"Rev3l"
"Wasf1"
"Mical1"
"Cd24a"
"Bves"
"Slc35f1"
"Ctnna3"
"Lss"
"Cirbp"
"Dot1l"
"Lta4h"
"Btg1"
"Ppp1r12a"
"E2f7"
"Csrp2"
"Prim1"
"Pan2"
"Oprm1"
"Akap12"
"Phactr2"
"Gpr126"
"3110003A17Rik"
"Tcf21"
"Hey2"
"Marcks"
"Unc5b"
"Adamts14"
"Tet1"
"Cdk1"
"Mif"
"Dip2a"
"Col6a2"
"Col18a1"
"Tcf3"
"Aldh1l2"
"Ckap4"
"Gas2l3"
"Tmpo"
"4932415G12Rik"
"Plxnc1"
"Atxn7l3b"
"Cpsf6"
"Dyrk2"
"Srgap1"
"Mbd6"
"Rps26"
"Cdk2"
"Gdf11"
"Ppia"
"Upp1"
"Xpo1"
"Bcl11a"
"Rtn4"
"Sh3pxd2b"
"Ubtd2"
"4933415A04Rik,Ccnjl"
"Pwwp2a"
"Rnf145"
"Adam19"
"Mmgt2"
"Myh10"
"Aurkb"
"1200014J11Rik"
"Rtn4rl1"
"Suz12"
"Atad5"
"Tmem98"
"Fam33a"
"Mmd"
"Mbtd1"
"Col1a1"
"Ppp1r1b"
"Erbb2"
"Aoc3"
"Fzd2"
"Myl4"
"Tanc2"
"Sox9"
"Birc5"
"Tug1"
"Pold2"
"Myl7"
"Purb"
"Fignl1"
"Ddc"
"Grb10"
"2810442I21Rik"
"Etaa1"
"5730522E02Rik"
"Npm1"
"Hmmr"
"Pttg1"
"Cnot6"
"Hnrnpab"
"Rad50"
"Hand1"
"Gm12245"
"Gm16515"
"BC046404"
"Atp1b2"
"Smtnl2"
"Traf4"
"Wsb1"
"Slfn9"
"Appbp2"
"Ypel2"
"Prr11"
"Ppm1e"
"Rad51c"
"Rpl23"
"Top2a"
"Smarce1"
"Brca1"
"Gjc1"
"Limd2"
"Hn1"
"Galk1"
"H3f3b"
"Srsf2"
"Fasn"
"Atad2b"
"Klf11"
"Rrm2"
"Kidins220"
"Pxdn"
"Lamb1"
"Etv1"
"G2e3"
"Pnn"
"Fancm"
"Dact1"
"Hif1a"
"Srsf5"
"Sipa1l1"
"Acot2"
"Acot1"
"Flrt2"
"Vrk1"
"Gm17052"
"Ncapg2"
"Gen1"
"Trib2"
"Rnf144a"
"Sox11"
"Scin"
"Clec14a"
"Mis18bp1"
"Nin"
"4930447C04Rik"
"Rdh11"
"Zfp36l1"
"Actn1"
"Dio2"
"Smek1"
"2810429I04Rik"
"Gli3"
"Fam65b"
"B230219D22Rik"
"Zfp808"
"Irx4"
"Cetn3"
"Lhfpl2"
"Serf1"
"Adamts6"
"Plk2"
"BC067074"
"Net1"
"Sox4"
"Tubb2b"
"Dek"
"Ror2"
"Hnrnpa0"
"2410141K09Rik"
"Nkd2"
"Trip13"
"Thbs4"
"F2r"
"Hmgcr"
"Mtap1b"
"Srek1"
"Rgs7bp"
"Top2b"
"Nid2"
"Ercc6"
"Gm1821"
"Mmp14"
"Pck2"
"Nynrin"
"Zfp395"
"Pcdh17"
"6720463M24Rik"
"Slitrk5"
"Tpm3-rs7"
"Gpc6"
"Farp1"
"4930452B06Rik"
"Gm9800"
"Gng2"
"Dnajc9"
"Synpo2l"
"Dlg5"
"Wdhd1"
"Supt16h"
"Sall2"
"Jub"
"Slc22a17"
"Myh7"
"Gm17588"
"Zdhhc20"
"Tnfrsf19"
"RP23-358B23.3"
"Diap3"
"Spry2"
"Nup155"
"Adamts12"
"Sema5a"
"Nov"
"Col14a1"
"Wdr67"
"Sqle"
"Myc"
"Wisp1"
"Pdxp,Sh3bp1"
"H1f0"
"Srebf2"
"Troap"
"Spats2"
"Espl1"
"Hnrnpa1"
"Skp2"
"Rai14"
"Sub1"
"Pdzd2"
"Stk3"
"Pabpc1"
"Ywhaz"
"Azin1"
"Rad21"
"Sntb1"
"Atad2"
"Mtss1"
"Tmem71"
"Ddx17"
"Cbx6,Npcd,Nptxr"
"Rpl3"
"Celsr1"
"Prickle1"
"Slc38a1"
"Slc38a2"
"Slc38a4"
"Tuba1a"
"Mcrs1"
"Racgap1"
"Csrnp2"
"Itga5"
"Ppp1r1a"
"Snn"
"Hic2"
"Scarf2"
"Cldn5"
"Yeats2"
"Lpp"
"Snx4"
"Stfa2l1"
"Gm5483"
"Fstl1"
"C330027C09Rik"
"Robo1"
"Hunk"
"Chaf1b"
"Gm17496"
"Mcm4"
"Gm17625"
"Igf2bp2"
"Tra2b"
"Tmem44"
"BC100530"
"Stfa2"
"Gtf2e1"
"Phldb2"
"Dzip3"
"5330426P16Rik"
"Kcne1"
"Hmgn1"
"Srrm2"
"Dcpp1,Dcpp2"
"Luc7l"
"Neurl1b"
"Syngap1"
"Srsf3"
"Clic1"
"Ddx39b"
"Cyp39a1"
"Ccnd3"
"Uhrf1"
"Ddx11"
"Epb4.1l3"
"Eml4"
"Ezr"
"Igf2r"
"Zfp820"
"Zfp40"
"Hn1l"
"Angptl4"
"Kifc1"
"Tcf19"
"Ddr1"
"Tubb5"
"AY036118"
"Cd2ap"
"Mdfi"
"Daam2"
"Khsrp"
"Strn"
"Fzd8"
"Snrpd1"
"Gata6"
"Rbbp8"
"Gm7729"
"Egr1"
"Matr3"
"Pcdhga9"
"Lmnb1"
"Megf10"
"Adamts19"
"Camk2a"
"Pde6a"
"Malt1"
"Impa2"
"Cep192"
"Mex3c"
"Pias2"
"Zfp516"
"Aqp4"
"Stard4"
